model_name,model_file,precision,recall,f1_score,map50,map50_95
YOLOv8n (Weather),yolo26n.pt,0.9805357200150062,0.9644444444444444,0.9724235182875663,0.9929021336831825,0.7519224966334107
YOLOv8n (Clean),yolo26n_clean.pt,0.9694538525223018,0.9521206819357239,0.9607090915666553,0.990842288079051,0.7577136203444289
YOLOv8s (Weather),yolo26s.pt,0.9878722755100279,0.995569669690558,0.9917060359744124,0.9948996743079043,0.8011550310080828
YOLOv8s (Clean),yolo26s_clean.pt,0.9763226657502113,0.9621380531802928,0.9691784612838364,0.9928599823138151,0.7969079735677952
